== Individual Errors

|==== PREDICTIONS (N=224.0) =====>
|  203 [ 1 0 0 0 0 0 0 0 0 ] [ 0.957 0.006 0.000 0.046 1.000 0.020 0.000 0.010 0.000 ]
|  204 [ 0 0 0 0 1 0 0 0 0 ] [ 1.000 0.006 0.000 0.046 1.000 0.000 0.000 0.010 0.000 ]
|  205 [ 1 0 0 0 0 1 0 0 0 ] [ 0.957 0.100 0.000 0.046 0.000 1.000 0.000 0.010 0.000 ]
|  206 [ 1 0 0 0 0 0 0 0 0 ] [ 0.333 0.006 0.000 0.046 0.000 0.833 0.000 0.010 0.000 ]
|  207 [ 1 0 0 0 0 0 0 0 0 ] [ 0.028 0.006 0.000 0.046 0.875 0.020 0.000 0.010 0.000 ]
|  208 [ 0 0 0 0 1 0 0 0 0 ] [ 0.028 0.006 0.000 0.046 1.000 0.667 0.000 0.010 0.000 ]
|  209 [ 0 0 0 0 1 0 0 0 0 ] [ 0.028 0.006 0.000 0.046 0.963 0.020 0.000 0.010 0.000 ]
|  210 [ 0 0 0 0 0 1 0 0 0 ] [ 0.933 0.006 0.000 0.046 0.000 0.000 0.000 0.010 0.000 ]
|  211 [ 0 0 0 0 1 0 0 0 0 ] [ 0.889 0.006 0.000 0.046 0.963 0.000 0.000 0.010 0.000 ]
|  212 [ 0 0 0 0 1 0 0 0 0 ] [ 1.000 0.006 0.000 0.046 0.963 0.667 0.000 0.010 0.000 ]
|  213 [ 0 0 0 0 1 1 0 0 0 ] [ 0.000 0.006 0.000 0.046 0.963 0.000 0.000 0.010 0.000 ]
|  214 [ 1 0 0 0 0 0 0 0 0 ] [ 0.143 0.006 0.000 0.046 0.000 0.875 0.000 0.010 0.000 ]
|  215 [ 0 0 0 0 1 0 0 0 0 ] [ 0.028 0.006 0.000 0.046 0.963 0.667 0.000 0.010 0.000 ]
|  216 [ 0 0 0 0 1 0 0 0 0 ] [ 0.028 0.006 0.000 0.046 0.111 0.020 0.000 0.010 0.000 ]
|  217 [ 0 0 0 0 1 0 0 0 0 ] [ 0.143 0.006 0.000 0.046 1.000 0.020 0.000 0.010 0.000 ]
|  218 [ 1 0 0 0 0 0 0 0 0 ] [ 0.957 0.100 0.000 0.046 0.000 1.000 0.000 0.010 0.000 ]
|  219 [ 0 0 0 0 1 0 0 0 0 ] [ 0.028 0.100 0.000 0.046 0.900 0.000 0.000 0.010 0.000 ]
|  220 [ 1 1 0 0 0 0 0 0 0 ] [ 0.957 0.000 0.000 0.046 0.333 0.000 0.000 0.010 0.000 ]
|  221 [ 0 0 0 0 1 0 0 0 0 ] [ 0.028 0.100 0.000 0.046 0.963 0.000 0.000 0.010 0.000 ]
|  222 [ 1 0 0 0 0 0 0 0 0 ] [ 0.938 0.006 0.000 0.046 0.000 0.020 0.000 0.010 0.000 ]
|  223 [ 0 0 0 0 1 0 0 0 0 ] [ 0.889 0.006 0.000 0.046 0.000 0.020 0.000 0.010 0.000 ]
|  224 [ 0 0 0 0 1 0 0 0 0 ] [ 0.028 0.006 0.000 0.046 0.963 0.020 0.000 0.010 0.000 ]
|==============================<


== Evaluation Info

Classifier                     meka.classifiers.multilabel.BR
Options                        [-W, weka.classifiers.trees.J48, --, -C, 0.25, -M, 2]
Additional Info                
Dataset                        Type-weka.filters.unsupervised.attribute.StringToWordVector-R10-W1000-prune-rate-1.0-N0-L-stemmerweka.core.stemmers.SnowballStemmer -S porter-stopwords-handlerweka.core.stopwords.Null-M1-O-tokenizerweka.core.tokenizers.NGramTokenizer -max 3 -min 1 -delimiters \W
Number of labels (L)           9
Type                           ML-CV
Threshold                      0.5
Verbosity                      8


== Predictive Performance

Number of test instances (N)   
Accuracy                       0.476
Jaccard index                  0.476
Hamming score                  0.886
Exact match                    0.33 
Jaccard distance               0.524
Hamming loss                   0.114
ZeroOne loss                   0.67 
Harmonic score                 0.578
One error                      0.371
Rank loss                      0.175
Avg precision                  0.286
Log Loss (lim. L)              0.261
Log Loss (lim. D)              0.452
Micro Precision                0.623
Micro Recall                   0.546
Macro Precision                0.313
Macro Recall                   0.263
F1 (micro averaged)            0.582
F1 (macro averaged by example) 0.528
F1 (macro averaged by label)   0.282
AUPRC (macro averaged)         NaN
AUROC (macro averaged)         NaN
Curve Data                     
Macro Curve Data               
Micro Curve Data               
Label indices                  [     0     1     2     3     4     5     6     7     8 ]
Accuracy (per label)           [ 0.732 0.911 1.000 0.951 0.741 0.647 1.000 0.991 1.000 ]
Harmonic (per label)           [ 0.712 0.210   NaN 0.844 0.729 0.296   NaN 0.000   NaN ]
Precision (per label)          [ 0.690 0.286 0.000 0.926 0.685 0.227 0.000 0.000 0.000 ]
Recall (per label)             [ 0.645 0.118 0.000 0.735 0.685 0.182 0.000 0.000 0.000 ]
Empty labelvectors (predicted) 0.188
Label cardinality (predicted)  1.147
Levenshtein distance           0.112
Label cardinality (difference) 0.161
avg. relevance (test set)      [ 0.415 0.076 0.000 0.152 0.411 0.246 0.000 0.009 0.000 ]
avg. relevance (predicted)     [ 0.388 0.031 0.000 0.121 0.411 0.196 0.000 0.000 0.000 ]
avg. relevance (difference)    [ 0.027 0.045 0.000 0.031 0.000 0.049 0.000 0.009 0.000 ]


== Additional Measurements (averaged across folds)

Number of training instances   224
Number of test instances       224
Label cardinality (train set)  1.308
Label cardinality (test set)   1.308
Build Time                     2.057
Test Time                      0.002
Total Time                     2.059



